Item_Identifier,Outlet_Identifier,Item_Outlet_Sales (Predicted)
FDV40,OUT049,1193.900669
FDZ48,OUT010,226.1817258
FDS24,OUT027,2233.413267
FDK44,OUT049,2970.813161
FDS48,OUT045,2589.464728
FDK26,OUT010,471.0561001
FDD23,OUT045,3131.132681
NCH54,OUT017,2865.801465
NCP14,OUT010,206.6022873
FDM60,OUT010,153.985044
FDV24,OUT017,2589.464728
FDH08,OUT018,3125.475166
FDS12,OUT027,2985.688063
FDR39,OUT027,5085.079298
FDP12,OUT027,1948.384547
DRF60,OUT027,5092.382392
FDC09,OUT035,1613.758924
FDF50,OUT018,2841.743322
FDG28,OUT035,3674.451961
NCE19,OUT017,962.7569674
NCM53,OUT010,214.6624357
NCN18,OUT049,1779.895111
FDF32,OUT035,3131.132681
FDF11,OUT013,3674.451961
DRI59,OUT049,3520.439369
NCG54,OUT035,2865.801465
FDM44,OUT046,1613.758924
FDT57,OUT018,3125.475166
FDV24,OUT046,2589.464728
FDI50,OUT019,1140.462698
FDS09,OUT035,962.7569674
NCC31,OUT027,4258.32396
FDQ07,OUT019,1140.462698
FDC22,OUT017,3131.132681
FDZ56,OUT046,2865.801465
FDZ40,OUT019,173.4398496
FDS46,OUT027,2835.938477
DRD24,OUT045,1833.558728
FDV45,OUT017,3131.132681
FDL26,OUT045,2511.642001
FDA56,OUT018,1603.474891
FDN27,OUT046,1876.869728
FDM20,OUT049,3674.451961
FDO16,OUT017,1329.689967
FDL03,OUT035,3131.132681
FDE58,OUT046,1876.869728
FDI02,OUT027,2784.762608
NCC55,OUT019,173.4398496
FDR03,OUT018,2841.743322
FDB14,OUT017,1613.758924
FDR45,OUT013,3674.451961
NCN07,OUT017,1949.034087
FDM51,OUT019,476.9577003
FDT52,OUT027,5421.657104
FDL26,OUT046,2511.642001
NCZ42,OUT046,3674.451961
DRI47,OUT019,793.583749
FDW40,OUT013,1876.869728
FDN34,OUT046,2865.801465
FDS01,OUT035,2970.813161
NCG55,OUT045,1833.558728
FDC11,OUT035,1329.689967
FDX35,OUT018,3125.475166
NCB06,OUT046,2865.801465
FDR09,OUT019,1112.156057
FDC53,OUT017,1613.758924
FDY45,OUT013,3674.451961
FDA22,OUT010,416.7224201
FDE02,OUT035,1613.758924
FDW21,OUT045,1570.447925
FDV34,OUT046,1193.900669
FDS59,OUT049,1613.758924
NCW17,OUT017,1876.869728
NCK54,OUT046,1876.869728
FDG17,OUT019,1165.917289
FDG35,OUT017,2970.813161
FDD08,OUT010,153.985044
NCO07,OUT017,3131.132681
FDJ10,OUT010,324.3239138
FDW36,OUT017,1613.758924
FDW21,OUT010,224.8035513
FDY19,OUT017,1876.869728
DRE03,OUT013,940.5948678
NCC55,OUT049,962.7569674
FDH52,OUT010,153.985044
FDO09,OUT017,3674.451961
FDU43,OUT045,3674.451961
FDX09,OUT010,447.7399164
FDH40,OUT019,476.9577003
FDW58,OUT017,1613.758924
FDC47,OUT017,3520.439369
NCR41,OUT035,1613.758924
DRG49,OUT035,3674.451961
FDC52,OUT027,3943.98115
FDY13,OUT046,1193.900669
FDY35,OUT013,940.5948678
FDI35,OUT017,3131.132681
NCU18,OUT049,1876.869728
FDY33,OUT018,2736.731625
FDC15,OUT027,4273.835332
FDU01,OUT049,3131.132681
NCU42,OUT046,2865.801465
NCV29,OUT018,2841.743322
NCY30,OUT017,3131.132681
FDQ46,OUT049,1779.895111
FDG58,OUT027,4342.926421
FDK33,OUT017,3520.439369
NCD07,OUT045,1833.558728
NCX29,OUT027,3943.98115
NCT42,OUT013,2511.642001
DRN59,OUT035,909.2486105
FDI44,OUT035,1193.900669
FDA45,OUT049,2970.813161
FDP31,OUT045,1062.143099
FDY01,OUT046,1876.869728
FDT09,OUT018,1603.474891
DRH03,OUT027,2531.047174
FDA36,OUT018,2841.743322
NCF31,OUT017,2511.642001
FDG14,OUT049,2511.642001
FDG28,OUT027,5421.657104
FDU14,OUT049,3674.451961
FDY47,OUT019,585.4516073
FDI56,OUT049,1613.758924
DRD01,OUT013,940.5948678
FDM22,OUT046,962.7569674
FDH33,OUT013,940.5948678
DRZ24,OUT013,1876.869728
NCQ38,OUT046,1685.923283
FDO16,OUT027,2531.047174
FDU07,OUT027,4231.761467
NCB07,OUT013,3131.132681
FDU48,OUT045,1833.558728
NCM43,OUT045,2865.801465
FDR31,OUT010,363.6019857
DRK49,OUT018,900.2563135
NCI30,OUT010,509.8812291
DRD60,OUT017,3131.132681
NCG19,OUT046,3674.451961
FDH12,OUT035,1613.758924
FDM32,OUT035,1613.758924
FDM27,OUT035,2511.642001
NCU53,OUT027,4554.287916
NCQ18,OUT046,1613.758924
FDS10,OUT013,2970.813161
FDB33,OUT027,4556.662522
FDI12,OUT013,1329.689967
NCW42,OUT013,3520.439369
NCC06,OUT018,1904.452427
FDW02,OUT017,1876.869728
NCD43,OUT017,1613.758924
FDM57,OUT018,1412.721813
FDA58,OUT017,3674.451961
FDK56,OUT046,3131.132681
FDP52,OUT045,3520.439369
FDW20,OUT018,1603.474891
FDS52,OUT049,1613.758924
NCT29,OUT018,1603.474891
NCL54,OUT013,2970.813161
FDC05,OUT045,3131.132681
FDF34,OUT035,3131.132681
FDP03,OUT027,2784.762608
FDD32,OUT010,214.6624357
FDZ10,OUT045,1833.558728
FDZ40,OUT035,962.7569674
FDD51,OUT018,900.2563135
NCY30,OUT019,899.5318061
FDP58,OUT017,3520.439369
FDV49,OUT017,3674.451961
FDY24,OUT019,176.2170146
NCO55,OUT017,1685.923283
FDR13,OUT017,1876.869728
FDS51,OUT017,1097.840615
FDP26,OUT045,1570.447925
NCB54,OUT027,2784.762608
FDF32,OUT017,3131.132681
FDN31,OUT018,2841.743322
DRM48,OUT017,962.7569674
FDN20,OUT049,2865.801465
DRL01,OUT046,3674.451961
FDV56,OUT049,1613.758924
DRH13,OUT027,2702.320545
FDA03,OUT017,2511.642001
FDF47,OUT027,5294.405022
FDX32,OUT046,2511.642001
FDX57,OUT049,1613.758924
NCA30,OUT045,3131.132681
FDO49,OUT013,940.5948678
FDL04,OUT019,468.8975519
DRM48,OUT035,962.7569674
FDR16,OUT013,3520.439369
NCC19,OUT018,2805.146139
NCE42,OUT045,3674.451961
FDY24,OUT017,962.7569674
FDH19,OUT049,2970.813161
FDJ46,OUT013,2970.813161
FDN45,OUT010,508.5606106
FDY08,OUT035,1876.869728
FDZ37,OUT035,1329.689967
NCT30,OUT045,962.7569674
DRY23,OUT018,900.2563135
NCZ30,OUT018,1904.452427
FDC44,OUT018,1506.500274
FDB45,OUT035,1613.758924
FDY04,OUT013,2865.801465
FDM27,OUT046,2865.801465
FDZ43,OUT017,3674.451961
FDT39,OUT019,836.3880202
NCC06,OUT019,585.4516073
FDL15,OUT027,4342.926421
FDL57,OUT017,3674.451961
FDU08,OUT046,1613.758924
FDK40,OUT017,3674.451961
FDQ12,OUT010,469.0037754
FDS48,OUT017,2589.464728
FDP09,OUT045,3520.439369
FDW21,OUT049,1613.758924
FDY25,OUT035,3131.132681
DRE13,OUT017,1329.689967
FDV43,OUT019,173.4398496
FDD22,OUT045,1736.584111
FDM46,OUT019,452.1468447
NCO30,OUT010,471.0561001
FDM25,OUT046,2970.813161
NCN41,OUT049,1876.869728
FDU24,OUT045,1570.447925
FDZ50,OUT046,3131.132681
FDP45,OUT013,3674.451961
NCM54,OUT045,1833.558728
FDW10,OUT019,871.225165
FDP20,OUT017,1876.869728
FDK32,OUT046,2511.642001
FDN52,OUT049,1329.689967
FDM58,OUT045,1736.584111
FDZ46,OUT027,2835.938477
NCA18,OUT018,1904.452427
FDD35,OUT046,1876.869728
NCK31,OUT035,1034.921326
FDI40,OUT027,2784.762608
FDT50,OUT019,468.8975519
NCT06,OUT046,2865.801465
FDT31,OUT035,3131.132681
FDT45,OUT049,962.7569674
FDT13,OUT045,3131.132681
FDO50,OUT045,1570.447925
NCU18,OUT010,267.2607233
NCR54,OUT049,3131.132681
NCO18,OUT018,2805.146139
FDU09,OUT045,962.7569674
FDT13,OUT018,2841.743322
FDE09,OUT046,1779.895111
NCK53,OUT019,476.9577003
FDG45,OUT049,3520.439369
DRH15,OUT035,962.7569674
FDO21,OUT019,1112.156057
FDD14,OUT027,5274.406318
FDC09,OUT046,1613.758924
FDH45,OUT027,1913.124206
FDV32,OUT046,1062.143099
FDG12,OUT035,1876.869728
FDS32,OUT013,1876.869728
NCL55,OUT018,3125.475166
DRE01,OUT035,3674.451961
DRE15,OUT049,1193.900669
NCL42,OUT045,3674.451961
FDP31,OUT013,1039.981
FDN33,OUT018,1412.721813
FDZ59,OUT046,2943.624191
FDE45,OUT010,471.0561001
FDJ07,OUT013,1876.869728
FDQ45,OUT018,2841.743322
FDM33,OUT027,5294.405022
FDO15,OUT010,209.9186361
FDM46,OUT013,1613.758924
FDR03,OUT045,3131.132681
FDY49,OUT018,2736.731625
FDQ60,OUT045,1833.558728
FDW10,OUT049,2970.813161
FDO51,OUT049,998.4544829
FDJ40,OUT018,1412.721813
FDS20,OUT018,2841.743322
FDU45,OUT013,1779.895111
FDV02,OUT035,2865.801465
FDN09,OUT046,3674.451961
NCM55,OUT027,5085.079298
FDN23,OUT018,2431.094061
FDY31,OUT010,374.4686871
FDW03,OUT010,214.6624357
FDD14,OUT046,3131.132681
FDV23,OUT017,1876.869728
DRI03,OUT045,2970.813161
FDN13,OUT035,1613.758924
FDF45,OUT027,1913.124206
FDU46,OUT035,1329.689967
FDB57,OUT049,3520.439369
FDV12,OUT049,1613.758924
FDQ58,OUT013,2511.642001
NCA18,OUT017,1876.869728
FDH52,OUT049,1062.143099
FDM24,OUT018,2431.094061
NCP43,OUT027,5085.079298
NCO18,OUT019,899.5318061
FDM32,OUT017,1613.758924
NCL07,OUT017,1034.921326
FDK03,OUT013,3674.451961
FDP59,OUT017,1613.758924
FDQ24,OUT049,3674.451961
FDQ16,OUT018,1506.500274
FDU44,OUT013,2865.801465
FDH28,OUT010,126.7182728
FDV28,OUT019,146.1730784
FDM22,OUT045,962.7569674
FDR56,OUT046,3131.132681
FDV39,OUT049,3131.132681
FDU37,OUT019,449.5387464
FDQ11,OUT010,559.9569271
FDX02,OUT045,3520.439369
NCS42,OUT018,1546.35698
FDY57,OUT027,2582.223043
FDB21,OUT049,3674.451961
FDE28,OUT017,3520.439369
FDQ55,OUT017,1779.895111
FDA48,OUT049,3520.439369
FDZ19,OUT045,2970.813161
NCC43,OUT045,3674.451961
NCV18,OUT046,1329.689967
NCA42,OUT018,2700.134442
FDY45,OUT046,3674.451961
NCC30,OUT045,2970.813161
FDM57,OUT013,1329.689967
FDL09,OUT010,420.6651762
FDB09,OUT027,2858.806824
FDT44,OUT035,1876.869728
NCT06,OUT027,4654.506965
FDX26,OUT049,3131.132681
FDK32,OUT013,2511.642001
DRA12,OUT046,1876.869728
FDO46,OUT010,478.6682323
FDE52,OUT013,1329.689967
NCH42,OUT045,3520.439369
FDV08,OUT035,962.7569674
FDB47,OUT018,2841.743322
FDC28,OUT010,226.1817258
FDD22,OUT046,1779.895111
FDS07,OUT027,2858.806824
DRI13,OUT045,3520.439369
FDG32,OUT018,2244.757602
FDU14,OUT017,3674.451961
FDD28,OUT019,173.4398496
NCP41,OUT017,1779.895111
FDS08,OUT049,2970.813161
FDX47,OUT045,2511.642001
FDC53,OUT019,476.9577003
FDQ19,OUT035,3674.451961
FDL14,OUT045,2511.642001
FDM33,OUT019,1112.156057
FDA51,OUT045,1736.584111
FDZ27,OUT018,900.2563135
FDT04,OUT046,962.7569674
DRC13,OUT049,1876.869728
FDR16,OUT027,5294.405022
FDQ03,OUT027,5294.405022
FDE38,OUT035,2865.801465
DRH23,OUT027,1989.476872
FDT11,OUT019,947.72627
FDD09,OUT035,2970.813161
FDR40,OUT045,1329.689967
FDX07,OUT017,3131.132681
FDR07,OUT035,1613.758924
FDA51,OUT017,1779.895111
FDT59,OUT019,1140.462698
FDF20,OUT017,3131.132681
FDR13,OUT045,1833.558728
FDY26,OUT049,3131.132681
FDW04,OUT017,1876.869728
FDK52,OUT017,3520.439369
FDN60,OUT049,2589.464728
FDM09,OUT019,871.225165
FDP46,OUT049,1329.689967
FDB50,OUT019,449.5387464
NCQ29,OUT049,3674.451961
FDP16,OUT027,5421.657104
FDX33,OUT018,2736.731625
FDP07,OUT010,568.695922
FDN22,OUT046,3674.451961
FDF39,OUT049,3674.451961
FDS21,OUT017,1062.143099
NCM42,OUT013,1613.758924
FDK50,OUT019,885.3922217
DRF13,OUT027,3904.811934
FDH35,OUT018,2736.731625
FDP60,OUT018,1412.721813
DRJ49,OUT027,2782.664509
NCT42,OUT019,793.583749
FDE38,OUT049,2865.801465
FDI04,OUT049,3131.132681
NCH54,OUT045,2511.642001
FDT56,OUT049,1062.143099
DRD15,OUT018,3125.475166
FDV58,OUT013,3131.132681
FDP21,OUT049,3131.132681
FDH05,OUT013,3520.439369
FDR10,OUT027,4554.287916
NCP06,OUT045,2511.642001
FDF33,OUT049,1613.758924
DRK37,OUT013,3131.132681
DRH49,OUT045,1329.689967
FDT58,OUT013,2865.801465
FDD41,OUT018,1412.721813
FDP40,OUT018,1506.500274
FDM51,OUT027,2784.762608
FDO45,OUT010,224.8035513
FDW33,OUT010,224.8035513
FDY24,OUT045,962.7569674
FDB10,OUT010,517.4933613
FDM40,OUT035,1876.869728
NCI06,OUT017,3131.132681
FDW12,OUT019,804.4210624
FDX48,OUT027,4316.726791
NCW05,OUT027,2784.762608
FDX27,OUT017,1613.758924
DRM37,OUT045,3131.132681
FDA38,OUT045,3674.451961
FDR36,OUT046,962.7569674
FDZ45,OUT046,3131.132681
FDG05,OUT017,2865.801465
FDK28,OUT013,3674.451961
FDV47,OUT045,1329.689967
FDN21,OUT045,2865.801465
FDP20,OUT027,2858.806824
FDI35,OUT045,3131.132681
DRY23,OUT013,940.5948678
FDA56,OUT017,1876.869728
FDB09,OUT013,1876.869728
NCO26,OUT027,3222.393165
FDQ49,OUT018,2431.094061
FDI52,OUT027,2784.762608
FDZ44,OUT027,2858.806824
FDZ09,OUT018,2736.731625
FDY03,OUT049,1779.895111
NCG42,OUT017,1876.869728
DRI13,OUT027,5092.382392
FDQ32,OUT013,1876.869728
FDW16,OUT035,1613.758924
FDU27,OUT046,998.4544829
FDR28,OUT010,453.0437124
FDQ49,OUT010,374.4686871
FDS37,OUT046,1876.869728
FDW26,OUT018,3125.475166
FDX12,OUT018,3125.475166
NCP06,OUT013,2511.642001
FDW45,OUT010,355.7943529
NCN30,OUT049,1613.758924
FDN24,OUT049,962.7569674
NCL41,OUT027,1839.079989
FDR02,OUT019,476.9577003
FDD09,OUT010,471.0561001
FDS33,OUT010,224.8035513
FDU22,OUT045,1833.558728
FDI53,OUT013,2865.801465
DRH01,OUT049,2970.813161
FDX32,OUT013,1876.869728
NCP30,OUT018,784.9126557
FDB60,OUT045,3131.132681
FDB14,OUT049,1613.758924
NCP02,OUT035,1062.143099
FDJ10,OUT017,1876.869728
FDG34,OUT046,1779.895111
NCB18,OUT017,1329.689967
FDM16,OUT049,1193.900669
FDW25,OUT018,1412.721813
FDB35,OUT010,214.6624357
DRN11,OUT013,2511.642001
FDF41,OUT019,736.5257825
FDH16,OUT045,1329.689967
NCQ50,OUT018,3088.877983
DRH23,OUT018,900.2563135
DRJ37,OUT013,2511.642001
DRJ24,OUT027,4945.131605
FDY16,OUT035,3131.132681
FDQ27,OUT045,1570.447925
FDZ33,OUT045,2511.642001
FDF29,OUT045,1833.558728
FDA08,OUT049,2865.801465
FDG31,OUT046,1097.840615
FDE34,OUT019,931.3895054
NCR30,OUT027,1740.375444
FDV33,OUT035,3674.451961
DRZ24,OUT018,1603.474891
NCL54,OUT035,2970.813161
FDR12,OUT049,3048.635888
NCC54,OUT046,3674.451961
DRN59,OUT013,887.0865108
FDX50,OUT019,488.4769903
FDV31,OUT027,5313.17116
NCA29,OUT027,4710.37134
FDW60,OUT049,3048.635888
FDX08,OUT017,3131.132681
DRD49,OUT013,3674.451961
FDD33,OUT046,3520.439369
FDW35,OUT013,940.5948678
FDJ36,OUT017,1613.758924
FDV51,OUT035,2865.801465
FDW36,OUT046,1613.758924
FDH35,OUT046,2865.801465
NCS30,OUT027,3302.737129
FDN49,OUT017,962.7569674
FDL08,OUT018,3125.475166
FDI09,OUT013,3674.451961
FDP19,OUT018,1603.474891
FDU21,OUT010,164.1261595
NCP41,OUT045,1570.447925
FDY10,OUT013,1779.895111
FDP12,OUT018,900.2563135
NCN26,OUT049,1876.869728
FDK44,OUT013,2970.813161
FDC28,OUT049,1613.758924
FDJ41,OUT027,5421.657104
NCT29,OUT035,1876.869728
NCH42,OUT019,1140.462698
FDU60,OUT018,2736.731625
FDS02,OUT045,3131.132681
FDC51,OUT046,1876.869728
FDU03,OUT013,3131.132681
FDX39,OUT045,3520.439369
NCY05,OUT010,153.985044
NCL06,OUT027,5209.802561
FDD32,OUT035,1193.900669
NCN41,OUT045,1833.558728
NCX53,OUT049,1876.869728
FDU57,OUT019,818.1047305
FDQ23,OUT046,1613.758924
FDQ52,OUT045,3674.451961
FDC14,OUT045,962.7569674
FDY09,OUT035,2970.813161
FDQ28,OUT045,2511.642001
FDV25,OUT046,3520.439369
FDJ07,OUT035,1876.869728
DRB25,OUT049,1613.758924
FDK52,OUT019,1165.917289
FDY52,OUT027,1839.079989
FDB28,OUT046,3131.132681
FDT36,OUT035,962.7569674
FDV25,OUT017,3520.439369
NCN07,OUT027,2865.106572
FDC57,OUT017,3131.132681
FDQ03,OUT018,3125.475166
FDU23,OUT017,2865.801465
NCX41,OUT035,3520.439369
NCD06,OUT035,962.7569674
FDW08,OUT045,1570.447925
NCU29,OUT017,2511.642001
NCE06,OUT013,2865.801465
FDV52,OUT010,311.448407
FDB02,OUT017,2970.813161
NCR18,OUT045,962.7569674
FDK16,OUT049,1613.758924
NCQ29,OUT010,509.8812291
FDZ01,OUT019,476.9577003
FDW27,OUT035,2511.642001
FDD17,OUT018,3125.475166
FDW39,OUT013,2970.813161
DRH59,OUT045,1140.392312
FDS52,OUT013,1613.758924
FDU40,OUT027,5421.657104
NCF54,OUT013,2970.813161
FDH46,OUT045,1570.447925
NCP14,OUT049,1613.758924
FDH50,OUT049,3131.132681
DRF15,OUT010,380.3197542
FDV27,OUT027,2531.047174
NCJ06,OUT049,1876.869728
FDN02,OUT018,2841.743322
FDQ51,OUT049,998.4544829
FDQ07,OUT017,3520.439369
FDS45,OUT049,1613.758924
NCJ06,OUT045,1833.558728
FDD36,OUT035,1876.869728
FDY25,OUT045,3131.132681
FDU52,OUT046,2511.642001
DRK47,OUT017,3520.439369
NCL30,OUT017,1876.869728
FDN22,OUT035,3674.451961
NCF30,OUT027,3222.393165
FDK03,OUT035,3674.451961
FDT45,OUT017,962.7569674
NCC54,OUT027,5294.405022
FDP08,OUT018,2841.743322
FDU44,OUT046,2865.801465
DRG39,OUT035,962.7569674
FDU32,OUT049,1876.869728
FDY27,OUT049,2970.813161
NCP54,OUT013,1876.869728
NCZ41,OUT049,1876.869728
DRL49,OUT013,2511.642001
FDI05,OUT018,1066.504819
FDY56,OUT045,3520.439369
DRC13,OUT013,1876.869728
NCV29,OUT017,2970.813161
FDR24,OUT049,1613.758924
FDZ34,OUT018,2841.743322
FDP37,OUT035,1876.869728
FDX08,OUT027,5413.949638
FDS57,OUT045,1833.558728
NCG18,OUT049,1613.758924
FDK25,OUT018,2736.731625
FDH53,OUT049,1193.900669
DRI59,OUT018,3125.475166
FDA52,OUT046,2970.813161
FDT20,OUT010,153.985044
FDE36,OUT019,857.5414968
FDI24,OUT017,3048.635888
FDB28,OUT018,2841.743322
FDV11,OUT017,2970.813161
FDP01,OUT046,2511.642001
FDD34,OUT027,4739.109427
FDJ50,OUT027,1930.864944
FDZ44,OUT013,1876.869728
DRO59,OUT035,1140.392312
DRB48,OUT045,962.7569674
FDR21,OUT018,2841.743322
NCE42,OUT010,501.5260673
FDO23,OUT046,1613.758924
NCE30,OUT018,3088.877983
FDQ22,OUT035,962.7569674
FDY01,OUT045,1833.558728
FDS08,OUT017,2970.813161
FDG28,OUT018,3125.475166
FDQ51,OUT018,900.2563135
FDB05,OUT017,3674.451961
FDO56,OUT049,1876.869728
FDE02,OUT018,1412.721813
FDN45,OUT017,3520.439369
FDS09,OUT013,940.5948678
NCA54,OUT018,2805.146139
FDP09,OUT010,509.1381994
FDC53,OUT045,1570.447925
NCM55,OUT017,3131.132681
FDL09,OUT018,2736.731625
FDA11,OUT019,487.7950136
FDA50,OUT045,1570.447925
FDC23,OUT017,2970.813161
FDE22,OUT049,2865.801465
FDD23,OUT046,3131.132681
NCA29,OUT049,2970.813161
FDK38,OUT046,2511.642001
DRC13,OUT046,1876.869728
NCP43,OUT049,2970.813161
FDX28,OUT049,1613.758924
FDF08,OUT049,1613.758924
FDZ33,OUT046,2511.642001
FDD10,OUT049,2970.813161
FDO58,OUT017,2865.801465
FDI50,OUT017,3520.439369
FDO58,OUT045,2865.801465
FDX08,OUT013,3131.132681
NCK17,OUT010,153.985044
FDF39,OUT035,3674.451961
FDU45,OUT010,236.3228413
NCJ18,OUT018,1904.452427
DRC27,OUT019,1140.462698
DRC25,OUT035,1329.689967
FDU59,OUT035,2865.801465
FDU28,OUT035,3131.132681
NCP30,OUT046,962.7569674
FDB39,OUT018,900.2563135
FDE41,OUT013,1329.689967
DRH11,OUT010,153.985044
FDA58,OUT045,3674.451961
FDU50,OUT046,1876.869728
FDM34,OUT013,1876.869728
FDM44,OUT027,2858.806824
FDR39,OUT045,3131.132681
FDM25,OUT045,2970.813161
FDQ49,OUT049,2511.642001
DRH25,OUT018,900.2563135
FDM09,OUT027,4794.973801
FDL44,OUT019,846.7041835
NCR42,OUT018,784.9126557
DRL59,OUT046,909.2486105
FDX43,OUT013,2865.801465
DRK47,OUT010,509.8812291
FDU48,OUT018,1603.474891
FDY12,OUT045,962.7569674
NCN43,OUT018,1603.474891
NCM55,OUT018,2841.743322
FDQ21,OUT027,2835.938477
FDX13,OUT035,3674.451961
NCK30,OUT027,5209.802561
FDG20,OUT049,2970.813161
DRG27,OUT017,962.7569674
FDY14,OUT018,3125.475166
FDP59,OUT035,1613.758924
FDU60,OUT017,2943.624191
NCC18,OUT019,688.3313187
DRJ39,OUT017,3520.439369
FDS07,OUT049,1779.895111
FDM08,OUT027,5750.527443
FDP51,OUT045,1833.558728
FDU16,OUT035,1329.689967
FDH12,OUT013,1613.758924
DRE48,OUT010,471.0561001
NCL42,OUT027,5337.054643
FDR21,OUT045,2970.813161
NCW29,OUT035,1876.869728
FDO11,OUT013,3674.451961
NCM31,OUT049,1949.034087
FDV35,OUT019,635.5036961
FDF58,OUT017,1062.143099
NCE43,OUT049,2865.801465
FDA02,OUT035,2511.642001
DRL37,OUT010,153.985044
